[['N', 0, 0, 'R', 0], 'NONE']
[['N', 0, 0, 'R', 1], 'DOWN']
[['N', 0, 0, 'R', 2], 'DOWN']
[['N', 0, 0, 'R', 3], 'DOWN']
[['N', 0, 0, 'R', 4], 'DOWN']
[['N', 0, 1, 'D', 0], 'NONE']
[['N', 0, 1, 'D', 1], 'DOWN']
[['N', 0, 1, 'D', 2], 'DOWN']
[['N', 0, 1, 'D', 3], 'DOWN']
[['N', 0, 1, 'D', 4], 'DOWN']
[['N', 0, 1, 'R', 0], 'NONE']
[['N', 0, 1, 'R', 1], 'DOWN']
[['N', 0, 1, 'R', 2], 'DOWN']
[['N', 0, 1, 'R', 3], 'DOWN']
[['N', 0, 1, 'R', 4], 'DOWN']
[['N', 0, 2, 'D', 0], 'NONE']
[['N', 0, 2, 'D', 1], 'DOWN']
[['N', 0, 2, 'D', 2], 'DOWN']
[['N', 0, 2, 'D', 3], 'DOWN']
[['N', 0, 2, 'D', 4], 'DOWN']
[['N', 0, 2, 'R', 0], 'NONE']
[['N', 0, 2, 'R', 1], 'DOWN']
[['N', 0, 2, 'R', 2], 'DOWN']
[['N', 0, 2, 'R', 3], 'DOWN']
[['N', 0, 2, 'R', 4], 'DOWN']
[['N', 0, 3, 'D', 0], 'NONE']
[['N', 0, 3, 'D', 1], 'DOWN']
[['N', 0, 3, 'D', 2], 'DOWN']
[['N', 0, 3, 'D', 3], 'DOWN']
[['N', 0, 3, 'D', 4], 'DOWN']
[['N', 0, 3, 'R', 0], 'NONE']
[['N', 0, 3, 'R', 1], 'DOWN']
[['N', 0, 3, 'R', 2], 'DOWN']
[['N', 0, 3, 'R', 3], 'DOWN']
[['N', 0, 3, 'R', 4], 'DOWN']
[['N', 1, 0, 'D', 0], 'NONE']
[['N', 1, 0, 'D', 1], 'CRAFT']
[['N', 1, 0, 'D', 2], 'CRAFT']
[['N', 1, 0, 'D', 3], 'CRAFT']
[['N', 1, 0, 'D', 4], 'CRAFT']
[['N', 1, 0, 'R', 0], 'NONE']
[['N', 1, 0, 'R', 1], 'CRAFT']
[['N', 1, 0, 'R', 2], 'CRAFT']
[['N', 1, 0, 'R', 3], 'CRAFT']
[['N', 1, 0, 'R', 4], 'CRAFT']
[['N', 1, 1, 'D', 0], 'NONE']
[['N', 1, 1, 'D', 1], 'CRAFT']
[['N', 1, 1, 'D', 2], 'CRAFT']
[['N', 1, 1, 'D', 3], 'CRAFT']
[['N', 1, 1, 'D', 4], 'CRAFT']
[['N', 1, 1, 'R', 0], 'NONE']
[['N', 1, 1, 'R', 1], 'CRAFT']
[['N', 1, 1, 'R', 2], 'CRAFT']
[['N', 1, 1, 'R', 3], 'CRAFT']
[['N', 1, 1, 'R', 4], 'CRAFT']
[['N', 1, 2, 'D', 0], 'NONE']
